client,insight_category,insight_type,priority,impact_level,station,daypart,metric_type,finding_description,recommendation,action_required,confidence,trend_context,time_based,generated_date
OPOS,combination_analysis,combination_optimization,3,High,LIFE,DA,golden_combination,LIFE + DA achieves Golden Combination status: 45.5 visits per spot with 1.3x synergy,Monitor LIFE + DA performance and optimize as needed,scale_immediately,Medium,combination_synergy,no,2025-06-30
OPOS,combination_analysis,combination_optimization,3,High,WE,PR,golden_combination,WE + PR achieves Golden Combination status: 42.3 visits per spot with 1.2x synergy,Monitor WE + PR performance and optimize as needed,scale_immediately,Medium,combination_synergy,no,2025-06-30
OPOS,combination_analysis,combination_optimization,3,High,TLC,EM,golden_combination,TLC + EM achieves Golden Combination status: 42.0 visits per spot with 1.2x synergy,Monitor TLC + EM performance and optimize as needed,scale_immediately,Medium,combination_synergy,no,2025-06-30
OPOS,combination_analysis,combination_optimization,3,High,WE,EF,golden_combination,WE + EF achieves Golden Combination status: 37.5 visits per spot with 1.1x synergy,Monitor WE + EF performance and optimize as needed,scale_immediately,Medium,combination_synergy,no,2025-06-30
OPOS,combination_analysis,combination_optimization,3,Medium,AEN,DA,standard_combination,AEN + DA achieves Good Combination status: 36.0 visits per spot with 1.1x synergy,Monitor AEN + DA performance and optimize as needed,monitor,Medium,combination_synergy,no,2025-06-30
OPOS,combination_analysis,combination_optimization,3,Medium,OXY,EM,standard_combination,OXY + EM achieves Good Combination status: 35.3 visits per spot with 1.0x synergy,Monitor OXY + EM performance and optimize as needed,monitor,Medium,combination_synergy,no,2025-06-30
OPOS,combination_analysis,combination_optimization,3,Medium,USA,DA,standard_combination,USA + DA achieves Good Combination status: 34.5 visits per spot with 1.0x synergy,Monitor USA + DA performance and optimize as needed,monitor,Low,combination_synergy,no,2025-06-30
OPOS,combination_analysis,combination_optimization,3,Medium,SUNDA,PR,standard_combination,SUNDA + PR achieves Good Combination status: 33.9 visits per spot with 1.0x synergy,Monitor SUNDA + PR performance and optimize as needed,monitor,Medium,combination_synergy,no,2025-06-30
OPOS,combination_analysis,combination_optimization,3,Medium,AEN,EF,standard_combination,AEN + EF achieves Standard Combination status: 30.8 visits per spot with 0.9x synergy,Monitor AEN + EF performance and optimize as needed,monitor,Low,combination_synergy,no,2025-06-30
OPOS,combination_analysis,combination_optimization,3,Medium,GAME,PR,standard_combination,GAME + PR achieves Standard Combination status: 30.6 visits per spot with 0.9x synergy,Monitor GAME + PR performance and optimize as needed,monitor,Medium,combination_synergy,no,2025-06-30
OPOS,combination_analysis,combination_optimization,3,Medium,LMN,PR,standard_combination,LMN + PR achieves Standard Combination status: 27.9 visits per spot with 0.8x synergy,Monitor LMN + PR performance and optimize as needed,monitor,Medium,combination_synergy,no,2025-06-30
OPOS,combination_analysis,combination_optimization,3,Medium,AMC,ON,standard_combination,AMC + ON achieves Standard Combination status: 12.7 visits per spot with 0.4x synergy,Monitor AMC + ON performance and optimize as needed,monitor,Medium,combination_synergy,no,2025-06-30
OPOS,combination_analysis,combination_optimization,3,Medium,GAME,ON,standard_combination,GAME + ON achieves Standard Combination status: 11.4 visits per spot with 0.3x synergy,Monitor GAME + ON performance and optimize as needed,monitor,Medium,combination_synergy,no,2025-06-30
OPOS,combination_analysis,combination_optimization,3,Medium,TBS,ON,standard_combination,TBS + ON achieves Standard Combination status: 11.3 visits per spot with 0.3x synergy,Monitor TBS + ON performance and optimize as needed,monitor,Medium,combination_synergy,no,2025-06-30
OPOS,combination_analysis,combination_optimization,3,Medium,HALL,ON,standard_combination,HALL + ON achieves Standard Combination status: 10.6 visits per spot with 0.3x synergy,Monitor HALL + ON performance and optimize as needed,monitor,Medium,combination_synergy,no,2025-06-30
OPOS,combination_analysis,combination_optimization,3,Medium,WE,ON,standard_combination,WE + ON achieves Standard Combination status: 10.5 visits per spot with 0.3x synergy,Monitor WE + ON performance and optimize as needed,monitor,Medium,combination_synergy,no,2025-06-30
OPOS,combination_analysis,combination_optimization,3,Medium,IDISC,ON,standard_combination,IDISC + ON achieves Standard Combination status: 10.0 visits per spot with 0.3x synergy,Monitor IDISC + ON performance and optimize as needed,monitor,Medium,combination_synergy,no,2025-06-30
OPOS,combination_analysis,combination_optimization,3,Medium,TNT,ON,standard_combination,TNT + ON achieves Standard Combination status: 8.5 visits per spot with 0.3x synergy,Monitor TNT + ON performance and optimize as needed,monitor,Medium,combination_synergy,no,2025-06-30
OPOS,quadrant_analysis,portfolio_optimization,3,Medium,LIFE,,scale_these,LIFE in Unknown quadrant: Scale up,Scale up,monitor,High,stable,yes,2025-06-30
OPOS,quadrant_analysis,portfolio_optimization,3,Medium,LMN,,scale_these,LMN in Unknown quadrant: Scale up,Scale up,monitor,High,stable,yes,2025-06-30
OPOS,quadrant_analysis,portfolio_optimization,3,Medium,TLC,,scale_these,TLC in Unknown quadrant: Scale up,Scale up,monitor,Medium,stable,yes,2025-06-30
OPOS,quadrant_analysis,portfolio_optimization,3,Medium,OXY,,test_these,OXY in Unknown quadrant: Test more budget,Test more budget,monitor,Low,stable,yes,2025-06-30
OPOS,quadrant_analysis,portfolio_optimization,3,Medium,SUNDA,,test_these,SUNDA in Unknown quadrant: Test more budget,Test more budget,monitor,Low,stable,yes,2025-06-30
OPOS,quadrant_analysis,portfolio_optimization,3,Medium,AMC,,optimize_these,AMC in Unknown quadrant: Optimize creative/targeting,Optimize creative/targeting,monitor,High,stable,yes,2025-06-30
OPOS,quadrant_analysis,portfolio_optimization,3,Medium,TBS,,optimize_these,TBS in Unknown quadrant: Optimize creative/targeting,Optimize creative/targeting,monitor,High,stable,yes,2025-06-30
OPOS,quadrant_analysis,portfolio_optimization,3,Medium,USA,,reduce_these,USA in Unknown quadrant: Monitor improvement,Monitor improvement,monitor,Medium,stable,yes,2025-06-30
OPOS,quadrant_analysis,portfolio_optimization,3,Medium,IDISC,,reduce_these,IDISC in Unknown quadrant: Monitor improvement,Monitor improvement,monitor,Medium,stable,yes,2025-06-30
OPOS,quadrant_analysis,portfolio_optimization,3,Medium,HALL,,reduce_these,HALL in Unknown quadrant: Monitor improvement,Monitor improvement,monitor,Medium,stable,yes,2025-06-30
OPOS,budget_opportunity,budget_reallocation,999,Medium,LIFE,,budget_reallocation,Optimization opportunity: unknown,,reallocate_budget,Medium,reallocation,no,2025-06-30
OPOS,key_optimization,optimization_priority,1,High,,,optimization_opportunity,Momentum Capitalization: Scale successful strategies while momentum is strong,Scale successful strategies while momentum is strong,implement_optimization,High,Momentum Capitalization,no,2025-06-30
OPOS,key_optimization,optimization_priority,1,High,,,optimization_opportunity,Station Budget Reallocation: Shift 10 spots from FOOD to LMN,Shift 10 spots from FOOD to LMN,implement_optimization,High,Station Budget Reallocation,no,2025-06-30
OPOS,key_optimization,optimization_priority,3,Medium,,,optimization_opportunity,Cost Efficiency Improvement: Review CPM and negotiate better rates with underperforming stations,Review CPM and negotiate better rates with underperforming stations,implement_optimization,High,Cost Efficiency Improvement,no,2025-06-30
OPOS,weekly_trend,trend_analysis,4,Medium,,,weekly_performance,Strong improvement: 19.8% efficiency change in latest week,Weekly trend: Strong improvement: 19.8% efficiency change in latest week,monitor_trend,High,weekly_change,yes,2025-06-30
OPOS,weekly_trend,trend_analysis,5,Medium,,,weekly_performance,Volume drop: 49.7% change in spots last week,Weekly trend: Volume drop: 49.7% change in spots last week,monitor_trend,High,weekly_change,yes,2025-06-30
OPOS,weekly_trend,trend_analysis,6,Medium,,,weekly_performance,Revenue decrease: 48.5% change last week,Weekly trend: Revenue decrease: 48.5% change last week,monitor_trend,High,weekly_change,yes,2025-06-30
